순번,목록명(서비스명),오퍼레이션명(상세 서비스명),API 호출 URL,
89,행정안전부_문화_문화예술법인 조회서비스,문화_문화예술법인 데이터 이력조회,http://apis.data.go.kr/1741000/cultural_art_corporations/history,
90,행정안전부_문화_노래연습장업 조회서비스,문화_노래연습장업 데이터 이력조회,http://apis.data.go.kr/1741000/karaoke_rooms/history,
91,행정안전부_문화_비디오물감상실업 조회서비스,문화_비디오물감상실업 데이터 이력조회,http://apis.data.go.kr/1741000/video_viewing_rooms/history,
92,행정안전부_문화_비디오물배급업 조회서비스,문화_비디오물배급업 데이터 이력조회,http://apis.data.go.kr/1741000/video_distributors/history,
93,행정안전부_문화_비디오물소극장업 조회서비스,문화_비디오물소극장업 데이터 이력조회,http://apis.data.go.kr/1741000/video_mini_theaters/history,
94,행정안전부_문화_비디오물시청제공업 조회서비스,문화_비디오물시청제공업 데이터 이력조회,http://apis.data.go.kr/1741000/video_streaming_providers/history,
95,행정안전부_문화_비디오물제작업 조회서비스,문화_비디오물제작업 데이터 이력조회,http://apis.data.go.kr/1741000/video_producers/history,
96,행정안전부_문화_관광숙박업 조회서비스,문화_관광숙박업 데이터 이력조회,http://apis.data.go.kr/1741000/tourist_accommodations/history,
97,행정안전부_문화_관광펜션업 조회서비스,문화_관광펜션업 데이터 이력조회,http://apis.data.go.kr/1741000/tourist_pensions/history,
98,행정안전부_문화_농어촌민박업 조회서비스,문화_농어촌민박업 데이터 이력조회,http://apis.data.go.kr/1741000/rural_homestays/history,
99,행정안전부_문화_숙박업 조회서비스,문화_숙박업 데이터 이력조회,http://apis.data.go.kr/1741000/lodgings/history,
100,행정안전부_문화_외국인관광도시민박업 조회서비스,문화_외국인관광도시민박업 데이터 이력조회,http://apis.data.go.kr/1741000/foreigner_city_homestays/history,
101,행정안전부_문화_일반야영장업 조회서비스,문화_일반야영장업 데이터 이력조회,http://apis.data.go.kr/1741000/general_campgrounds/history,
102,행정안전부_문화_자동차야영장업 조회서비스,문화_자동차야영장업 데이터 이력조회,http://apis.data.go.kr/1741000/auto_campgrounds/history,
103,행정안전부_문화_한옥체험업 조회서비스,문화_한옥체험업 데이터 이력조회,http://apis.data.go.kr/1741000/hanok_experience/history,
104,행정안전부_문화_국내여행업 조회서비스,문화_국내여행업 데이터 이력조회,http://apis.data.go.kr/1741000/domestic_travel_agencies/history,
105,행정안전부_문화_국내외여행업 조회서비스,문화_국내외여행업 데이터 이력조회,http://apis.data.go.kr/1741000/domestic_international_travel_agencies/history,
106,행정안전부_문화_종합여행업 조회서비스,문화_종합여행업 데이터 이력조회,http://apis.data.go.kr/1741000/comprehensive_travel_agencies/history,
107,행정안전부_문화_영화배급업 조회서비스,문화_영화배급업 데이터 이력조회,http://apis.data.go.kr/1741000/film_distributors/history,
108,행정안전부_문화_영화상영관 조회서비스,문화_영화상영관 데이터 이력조회,http://apis.data.go.kr/1741000/movie_theaters/history,
109,행정안전부_문화_영화상영업 조회서비스,문화_영화상영업 데이터 이력조회,http://apis.data.go.kr/1741000/film_screenings/history,
110,행정안전부_문화_영화수입업 조회서비스,문화_영화수입업 데이터 이력조회,http://apis.data.go.kr/1741000/film_importers/history,
111,행정안전부_문화_영화제작업 조회서비스,문화_영화제작업 데이터 이력조회,http://apis.data.go.kr/1741000/film_producers/history,
112,행정안전부_문화_온라인음악서비스제공업 조회서비스,문화_온라인음악서비스제공업 데이터 이력조회,http://apis.data.go.kr/1741000/online_music_services/history,
