순번,목록명(서비스명),오퍼레이션명(상세 서비스명),API 호출 URL,
71,행정안전부_문화_공연장 조회서비스,문화_공연장 데이터 조회,http://apis.data.go.kr/1741000/performance_halls/info,
72,행정안전부_문화_관광공연장업 조회서비스,문화_관광공연장업 데이터 조회,http://apis.data.go.kr/1741000/tourist_performance_halls/info,
73,행정안전부_문화_관광극장유흥업 조회서비스,문화_관광극장유흥업 데이터 조회,http://apis.data.go.kr/1741000/tourist_theater_entertainment/info,
74,행정안전부_문화_관광궤도업 조회서비스,문화_관광궤도업 데이터 조회,http://apis.data.go.kr/1741000/tourist_railways/info,
75,행정안전부_문화_관광사업자 조회서비스,문화_관광사업자 데이터 조회,http://apis.data.go.kr/1741000/tourism_businesses/info,
76,행정안전부_문화_관광유람선업 조회서비스,문화_관광유람선업 데이터 조회,http://apis.data.go.kr/1741000/tourist_cruises/info,
77,행정안전부_문화_국제회의시설업 조회서비스,문화_국제회의시설업 데이터 조회,http://apis.data.go.kr/1741000/international_convention_facilities/info,
78,행정안전부_문화_박물관 및 미술관 조회서비스,문화_박물관 및 미술관 데이터 조회,http://apis.data.go.kr/1741000/museums_and_art_galleries/info,
79,행정안전부_문화_시내순환관광업 조회서비스,문화_시내순환관광업 데이터 조회,http://apis.data.go.kr/1741000/city_tour_businesses/info,
80,행정안전부_문화_테마파크업(기타) 조회서비스,문화_테마파크업(기타) 데이터 조회,http://apis.data.go.kr/1741000/amusement_facilities_other/info,
81,행정안전부_문화_일반테마파크업 조회서비스,문화_일반테마파크업 데이터 조회,http://apis.data.go.kr/1741000/general_amusement_facilities/info,
82,행정안전부_문화_전문휴양업 조회서비스,문화_전문휴양업 데이터 조회,http://apis.data.go.kr/1741000/special_resorts/info,
83,행정안전부_문화_전통사찰 조회서비스,문화_전통사찰 데이터 조회,http://apis.data.go.kr/1741000/traditional_temples/info,
84,행정안전부_문화_종합테마파크업 조회서비스,문화_종합테마파크업 데이터 조회,http://apis.data.go.kr/1741000/comprehensive_amusement_facilities/info,
85,행정안전부_문화_종합휴양업 조회서비스,문화_종합휴양업 데이터 조회,http://apis.data.go.kr/1741000/comprehensive_resorts/info,
86,행정안전부_문화_지방문화원 조회서비스,문화_지방문화원 데이터 조회,http://apis.data.go.kr/1741000/local_culture_centers/info,
87,행정안전부_문화_국제회의기획업 조회서비스,문화_국제회의기획업 데이터 조회,http://apis.data.go.kr/1741000/international_convention_planners/info,
88,행정안전부_문화_대중문화예술기획업 조회서비스,문화_대중문화예술기획업 데이터 조회,http://apis.data.go.kr/1741000/pop_culture_art_planners/info,
89,행정안전부_문화_문화예술법인 조회서비스,문화_문화예술법인 데이터 조회,http://apis.data.go.kr/1741000/cultural_art_corporations/info,
90,행정안전부_문화_노래연습장업 조회서비스,문화_노래연습장업 데이터 조회,http://apis.data.go.kr/1741000/karaoke_rooms/info,
91,행정안전부_문화_비디오물감상실업 조회서비스,문화_비디오물감상실업 데이터 조회,http://apis.data.go.kr/1741000/video_viewing_rooms/info,
92,행정안전부_문화_비디오물배급업 조회서비스,문화_비디오물배급업 데이터 조회,http://apis.data.go.kr/1741000/video_distributors/info,
93,행정안전부_문화_비디오물소극장업 조회서비스,문화_비디오물소극장업 데이터 조회,http://apis.data.go.kr/1741000/video_mini_theaters/info,
94,행정안전부_문화_비디오물시청제공업 조회서비스,문화_비디오물시청제공업 데이터 조회,http://apis.data.go.kr/1741000/video_streaming_providers/info,
95,행정안전부_문화_비디오물제작업 조회서비스,문화_비디오물제작업 데이터 조회,http://apis.data.go.kr/1741000/video_producers/info,
96,행정안전부_문화_관광숙박업 조회서비스,문화_관광숙박업 데이터 조회,http://apis.data.go.kr/1741000/tourist_accommodations/info,
97,행정안전부_문화_관광펜션업 조회서비스,문화_관광펜션업 데이터 조회,http://apis.data.go.kr/1741000/tourist_pensions/info,
98,행정안전부_문화_농어촌민박업 조회서비스,문화_농어촌민박업 데이터 조회,http://apis.data.go.kr/1741000/rural_homestays/info,
99,행정안전부_문화_숙박업 조회서비스,문화_숙박업 데이터 조회,http://apis.data.go.kr/1741000/lodgings/info,
100,행정안전부_문화_외국인관광도시민박업 조회서비스,문화_외국인관광도시민박업 데이터 조회,http://apis.data.go.kr/1741000/foreigner_city_homestays/info,
101,행정안전부_문화_일반야영장업 조회서비스,문화_일반야영장업 데이터 조회,http://apis.data.go.kr/1741000/general_campgrounds/info,
102,행정안전부_문화_자동차야영장업 조회서비스,문화_자동차야영장업 데이터 조회,http://apis.data.go.kr/1741000/auto_campgrounds/info,
103,행정안전부_문화_한옥체험업 조회서비스,문화_한옥체험업 데이터 조회,http://apis.data.go.kr/1741000/hanok_experience/info,
104,행정안전부_문화_국내여행업 조회서비스,문화_국내여행업 데이터 조회,http://apis.data.go.kr/1741000/domestic_travel_agencies/info,
105,행정안전부_문화_국내외여행업 조회서비스,문화_국내외여행업 데이터 조회,http://apis.data.go.kr/1741000/domestic_international_travel_agencies/info,
106,행정안전부_문화_종합여행업 조회서비스,문화_종합여행업 데이터 조회,http://apis.data.go.kr/1741000/comprehensive_travel_agencies/info,
107,행정안전부_문화_영화배급업 조회서비스,문화_영화배급업 데이터 조회,http://apis.data.go.kr/1741000/film_distributors/info,
108,행정안전부_문화_영화상영관 조회서비스,문화_영화상영관 데이터 조회,http://apis.data.go.kr/1741000/movie_theaters/info,
109,행정안전부_문화_영화상영업 조회서비스,문화_영화상영업 데이터 조회,http://apis.data.go.kr/1741000/film_screenings/info,
110,행정안전부_문화_영화수입업 조회서비스,문화_영화수입업 데이터 조회,http://apis.data.go.kr/1741000/film_importers/info,
111,행정안전부_문화_영화제작업 조회서비스,문화_영화제작업 데이터 조회,http://apis.data.go.kr/1741000/film_producers/info,
112,행정안전부_문화_온라인음악서비스제공업 조회서비스,문화_온라인음악서비스제공업 데이터 조회,http://apis.data.go.kr/1741000/online_music_services/info,
